00919, 044604, San Juan            , PR , 386,    0 ,      0 , 12975 ,  4106 ,   2 ,   2 ,  90 , 101 ,0 ,0 ,0 , 101 , 137 , 100
00935, 005004, San Juan            , PR , 311,    0 , 118065 , 11309 , 21049 ,   0 ,   0 ,  70 ,  26 ,1 ,0 ,0 ,  66 ,  40 , 330
01060, 157014, Northampton         , MA , 175,    0 , 114912 ,  7365 ,  5862 ,   0 ,   1 ,  93 ,  60 ,0 ,0 ,0 ,  97 ,  64 ,  58
01104, 194014, Springfield         , MA , 324,    0 ,  95702 , 10406 , 13648 ,  28 ,  29 , 122 ,  94 ,0 ,0 ,0 , 152 ,  95 , 116
01199, 195514, Springfield         , MA , 507,    0 , 108258 , 22361 , 15081 ,   0 ,   7 , 148 ,  97 ,1 ,1 ,0 , 166 , 110 , 236
01420, 093014, Fitchburg           , MA , 175,   25 ,  26428 ,  5619 ,  5701 ,   6 ,  11 ,  61 ,  48 ,1 ,1 ,1 ,  57 ,  44 ,  40
01602, 232014, Worcester           , MA ,  80,   80 ,      0 ,   907 ,     0 , 318 , 491 ,   0 ,   0 ,0 ,0 ,1 ,   0 ,   0 ,   0
01604, 235014, Worcester           , MA , 416,    0 ,  58206 , 18274 , 11847 ,   0 ,   0 , 130 ,  69 ,1 ,0 ,0 , 137 ,  83 , 172
01605, 238014, Worcester           , MA , 211,    0 ,   9275 ,  7571 , 15766 , 277 , 513 , 209 , 143 ,1 ,0 ,0 , 207 , 178 , 177
01655, 235514, Worcester           , MA , 353,    0 , 322761 , 15863 , 13573 , 261 , 325 ,  96 ,  66 ,1 ,1 ,0 ,  73 ,  35 , 144
01701, 096014, Framingham          , MA , 290,    0 ,  45625 , 10716 , 13296 ,   0 ,   0 ,  76 ,  38 ,1 ,0 ,0 , 116 ,  68 , 143
01742, 085014, Concord             , MA , 220,    0 ,  91250 ,  9611 ,  8644 ,   8 ,  11 ,  77 ,  26 ,0 ,0 ,0 ,  59 ,  34 ,  66
01801, 230514, Woburn              , MA , 198,  198 ,      0 ,  2739 ,     0 ,   3 ,  12 ,   0 ,   0 ,0 ,0 ,1 ,   0 ,   0 ,   0
01803, 069014, Burlington          , MA , 272,    0 , 480603 , 12270 , 11835 ,   2 ,   4 , 168 , 151 ,1 ,0 ,0 , 206 , 146 ,  58
01830, 910014, Haverhill           , MA ,  82,   82 ,      0 ,   440 ,     0 ,  50 ,  82 ,   0 ,   0 ,0 ,0 ,1 ,   0 ,   0 ,   0
01830, 108014, Haverhill           , MA , 151,    0 ,  25550 ,  6199 ,  5257 ,  12 ,  16 ,  40 ,  15 ,0 ,0 ,0 ,  39 ,  19 ,  87
01841, 117014, Lawrence            , MA , 312,    0 ,  66406 , 13464 , 12665 ,  95 , 129 ,  46 ,  39 ,0 ,0 ,0 ,  57 ,  32 ,  83
01844, 135514, Methuen             , MA , 290,    0 ,  92768 ,  8662 ,  5388 ,  56 ,  96 ,  55 ,  26 ,0 ,0 ,0 ,  49 ,  40 ,  80
01854, 120014, Lowell              , MA , 242,    0 , 181709 , 11194 ,  7649 ,   2 ,  13 ,  35 ,  17 ,0 ,1 ,0 ,  35 ,  22 ,  53
01890, 228014, Winchester          , MA , 198,    0 , 137751 , 10020 ,  6926 ,   1 ,   5 ,  59 ,  23 ,1 ,0 ,0 ,  65 ,  32 ,  64
01915, 013014, Beverly             , MA , 242,    0 ,  18876 , 11195 ,  8547 ,   0 ,   0 ,  96 ,  68 ,0 ,0 ,0 , 110 ,  77 , 107
01970, 182014, Salem               , MA , 375,    0 , 131960 , 16407 , 11895 ,  36 ,  36 , 132 , 109 ,1 ,0 ,0 , 130 , 127 ,  99
02072, 064014, Stoughton           , MA , 236,    0 ,  23989 , 12004 ,  7729 ,  13 ,  13 ,  26 ,  29 ,0 ,1 ,0 ,  34 ,  31 ,  45
